Plot,Easting,Northing,ARTR Cover,ARAR Cover,EPVI Cover,SYAL Cover,CHNA Cover,Shrub Cover Total,Pimo_seed,Pimo_sap,Juos_seed,Juos_sap,Cheatgrass Cover,Perrenial Grass Cover,Forb Cover,Rock Cover,Bare Ground Cover,Cryptogammic Cover,Litter Cover,Gravel Cover,Annual Grass Cover
DES1014,451664.66,4373558.33,7.56,0,0,0,0,7.56,112,1,0,0,0,7.63,2.75,11.13,3.63,0,72.25,4.13,0
DES105,443808.02,4371522.40,0.78,3.43,0,0,0,4.59,6,0,0,0,0,16.25,11.88,14.75,5.63,5.75,67.88,8.75,0
DES965,434690.47,4337287.78,1.16,0,0.42,0,0,1.58,1,0,0,1,0.13,6.5,2.75,20.25,9.38,0.13,25.88,10.63,0
DES998,437864.70,4335657.85,4.59,0,0,0,0,4.59,3,0,0,0,0,7.88,1.75,40.88,3.5,1.5,52.63,1.63,0
DIA248,599386.57,4421176.41,13.73,0,0,14.99,0,28.71,1,0,0,0,0,35,8.88,14,8.38,0.13,23.13,25.38,0
DIA333,606296.81,4415843.81,0,0,0,0,0,0,0,1,0,0,5.38,0,3.25,0.75,37.13,0,57.13,16.88,0
DIA624,597816.54,4392476.39,0,0,0,0,0,0,0,0,0,0,0.5,4.38,4.25,40.25,32.13,0,31.63,22.38,0
DIA658,594638.92,4386622.66,0,0,0,0,0,0,3,0,4,0,0.5,0.25,0.25,0,7,0.75,37.88,51.63,0
FC617,581948.06,4356774.13,0,0,0,0,0,0,6,3,0,0,0,0.13,0.75,5.75,2,6.63,56.5,66.38,0
FC791,578476.26,4348182.55,0,6.72,0,0,0,6.72,8,0,1,0,0,3.63,3.13,12.13,3.5,0,33.88,36.13,0
FC795,576731.85,4347390.08,0,2.7,0,0,0,2.7,12,0,0,0,0,0.88,8.88,7.63,7.75,3,20.25,66.75,0
FC837,576572.61,4337707.88,0,0,0,0,0,0,1,0,0,0,0,0.75,1.13,0.13,23.63,0.13,22.38,44.63,0
NP246,462638.67,4385651.45,1.61,0,0,0,0,1.61,1,0,0,0,0,18.5,6.13,0,8.63,2.38,60.63,25.75,0
NP294,463033.64,4387645.04,1.46,0,0.7,0,0,2.16,4,0,0,0,1.38,10.5,4.38,32.63,2.13,0,31.63,1.5,0
NP342,458609.71,4381997.00,6.43,0,0,0,0,6.43,0,0,0,0,0.25,5.75,0.25,14,13,0,7.38,0,0
NP92,462902.22,4391836.36,0,0,0,0,0,0,9,1,0,0,0,16.88,1.63,0,2,3.88,43.13,8,0
