Plot,Date,Observers,Transect,Meter,Cover type,Cover class,Midpoint value
DES1014,5/25/2014,JV,E,9,Cheatgrass,0,0
DES1014,5/25/2014,JV,E,9,Other Ann Grass,0,0
DES1014,5/25/2014,JV,E,9,Perennial grass,1,2.5
DES1014,5/25/2014,JV,E,9,Annual forb,0,0
DES1014,5/25/2014,JV,E,9,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,E,9,Shrub ,1,2.5
DES1014,5/25/2014,JV,E,9,Bare Ground,1,2.5
DES1014,5/25/2014,JV,E,9,Litter,2,15
DES1014,5/25/2014,JV,E,9,Gravel,0,0
DES1014,5/25/2014,JV,E,9,Rock,1,2.5
DES1014,5/25/2014,JV,E,9,Crust,0,0
DES1014,5/25/2014,JV,E,11,Cheatgrass,0,0
DES1014,5/25/2014,JV,E,11,Other Ann Grass,0,0
DES1014,5/25/2014,JV,E,11,Perennial grass,1,2.5
DES1014,5/25/2014,JV,E,11,Annual forb,0,0
DES1014,5/25/2014,JV,E,11,Perennial forb ,1,2.5
DES1014,5/25/2014,JV,E,11,Shrub ,0,0
DES1014,5/25/2014,JV,E,11,Bare Ground,0,0
DES1014,5/25/2014,JV,E,11,Litter,1,2.5
DES1014,5/25/2014,JV,E,11,Gravel,0,0
DES1014,5/25/2014,JV,E,11,Rock,2,15
DES1014,5/25/2014,JV,E,11,Crust,0,0
DES1014,5/25/2014,JV,E,12,Cheatgrass,0,0
DES1014,5/25/2014,JV,E,12,Other Ann Grass,0,0
DES1014,5/25/2014,JV,E,12,Perennial grass,1,2.5
DES1014,5/25/2014,JV,E,12,Annual forb,0,0
DES1014,5/25/2014,JV,E,12,Perennial forb ,0,0
DES1014,5/25/2014,JV,E,12,Shrub ,0,0
DES1014,5/25/2014,JV,E,12,Bare Ground,1,2.5
DES1014,5/25/2014,JV,E,12,Litter,2,15
DES1014,5/25/2014,JV,E,12,Gravel,0,0
DES1014,5/25/2014,JV,E,12,Rock,4,62.5
DES1014,5/25/2014,JV,E,12,Crust,0,0
DES1014,5/25/2014,JV,E,14,Cheatgrass,0,0
DES1014,5/25/2014,JV,E,14,Other Ann Grass,0,0
DES1014,5/25/2014,JV,E,14,Perennial grass,1,2.5
DES1014,5/25/2014,JV,E,14,Annual forb,0,0
DES1014,5/25/2014,JV,E,14,Perennial forb ,0,0
DES1014,5/25/2014,JV,E,14,Shrub ,0,0
DES1014,5/25/2014,JV,E,14,Bare Ground,2,15
DES1014,5/25/2014,JV,E,14,Litter,2,15
DES1014,5/25/2014,JV,E,14,Gravel,0,0
DES1014,5/25/2014,JV,E,14,Rock,1,2.5
