XCoord,YCoord,Plot,Cluster
451664.3537,4373558.969,DES1014,DES1014
451710.9264,4373519.471,DES1014120,DES1014
451608.27,4373526.784,DES1014240,DES1014
451680.3276,4373639.777,DES1014360,DES1014
443808.7723,4371521.316,DES105,DES105
443840.8201,4371482.903,DES105120,DES105
443758.4767,4371478.531,DES105240,DES105
443804.7377,4371585.666,DES105360,DES105
437864.695,4335657.852,DES998,DES998
437906.0411,4335614.002,DES998120,DES998
437824.6887,4335623.881,DES998240,DES998
437878.4463,4335715.373,DES998360,DES998
599386.3215,4421177.837,DIA248,DIA248
599388.804,4421125.511,DIA248120,DIA248
599324.0024,4421158.266,DIA248240,DIA248
599374.667,4421228.988,DIA248360,DIA248
606298.515,4415842.703,DIA333,DIA333
606340.0794,4415803.779,DIA333120,DIA333
606256.73,4415800.721,DIA333240,DIA333
606290.6624,4415903.437,DIA333360,DIA333
578476.258,4348182.55,FC791,FC791
578496.1203,4348133.192,FC791120,FC791
578432.0885,4348135.176,FC791240,FC791
578491.7857,4348236.419,FC791360,FC791
576733.3961,4347389.379,FC795,FC795
576766.1367,4347344.102,FC795120,FC795
576690.5864,4347342.783,FC795240,FC795
576731.6365,4347450.994,FC795360,FC795
458609.6296,4381997.162,NP342,NP342
458640.0619,4381943.308,NP342120,NP342
458571.3377,4381942.398,NP342240,NP342
458606.3451,4382063.193,NP342360,NP342
463553.4643,4384406.721,NPELECTRICEEL,NPELECTRICEEL
463605.6876,4384374.889,NPELECTRICEEL120,NPELECTRICEEL
463505.5136,4384377.424,NPELECTRICEEL240,NPELECTRICEEL
463555.6594,4384465.482,NPELECTRICEEL360,NPELECTRICEEL
480546.6387,4401604.633,RAV339,RAV339
480584.39,4401552.667,RAV339120,RAV339
480500.8716,4401545.703,RAV339240,RAV339
480551.8648,4401668.801,RAV339360,RAV339
482096.0712,4400890.28,RAV358,RAV358
482143.6537,4400824.231,RAV358120,RAV358
482049.5038,4400827.746,RAV358240,RAV358
482096.537,4400963.087,RAV358360,RAV358
557414.621,4402459.762,ROB926,ROB926
557458.0652,4402420.029,ROB926120,ROB926
557358.7526,4402448.222,ROB926240,ROB926
557440.5995,4402514.25,ROB926360,ROB926
558363.8883,4404494.771,ROB938,ROB938
558419.4082,4404415.115,ROB938120,ROB938
558305.7044,4404464.889,ROB938240,ROB938
558376.8388,4404547.567,ROB938360,ROB938
503572.7827,4463403.06,SHO424,SHO424
503604.7962,4463331.362,SHO424120,SHO424
503520.0745,4463336.237,SHO424240,SHO424
503617.6754,4463470.733,SHO424360,SHO424
522274.3053,4467545.74,SHO446,SHO446
522289.5202,4467464.471,SHO446120,SHO446
522246.5383,4467478.12,SHO446240,SHO446
522294.4678,4467611.06,SHO446360,SHO446
520185.4144,4370155.042,SPR1575,SPR1575
520212.1265,4370115.542,SPR1575120,SPR1575
520130.0862,4370137.679,SPR1575240,SPR1575
520218.979,4370192.589,SPR1575360,SPR1575
519054.3118,4368017.37,SPR1620,SPR1620
519122.7568,4367964.666,SPR1620120,SPR1620
518991.3419,4368011.778,SPR1620240,SPR1620
519074.8627,4368070.651,SPR1620360,SPR1620
577607.0072,4435316.122,SS256,SS256
577670.4275,4435288.37,SS256120,SS256
577525.6027,4435316.274,SS256240,SS256
577601.257,4435382.824,SS256360,SS256
579021.8322,4450420.033,SS32,SS32
579061.6251,4450377.568,SS32120,SS32
578983.2309,4450378.55,SS32240,SS32
579021.8786,4450488.621,SS32360,SS32
576809.2398,4422163.106,SS452,SS452
576848.4828,4422116.231,SS452120,SS452
576766.4904,4422111.772,SS452240,SS452
576813.664,4422228.389,SS452360,SS452
574040.7052,4413517.088,SS604,SS604
574091.2189,4413453.697,SS604120,SS604
574042.3537,4413453.482,SS604240,SS604
574048.3986,4413566.563,SS604360,SS604
495470.3528,4389768.758,TOI1577,TOI1577
495469.9292,4389832.19,TOI1577360,TOI1577
507328.9652,4389710.017,TOI1596,TOI1596
507373.1818,4389651.56,TOI1596120,TOI1596
507284.3431,4389656.624,TOI1596240,TOI1596
507334.4198,4389765.683,TOI1596360,TOI1596
513777.4369,4419136.027,TOI533,TOI533
513810.5711,4419091.058,TOI533120,TOI533
513717.8547,4419095.117,TOI533240,TOI533
513775.2143,4419192.474,TOI533360,TOI533
574125.2629,4389982.099,WHIS25,WHIS25
574150.9168,4389948.898,WHIS25120,WHIS25
574095.732,4389950.678,WHIS25240,WHIS25
574125.188,4390035.638,WHIS25360,WHIS25
577136.5909,4387557.449,WHIS64,WHIS64
577131.0284,4387481.518,WHIS64120,WHIS64
577097.4675,4387550.952,WHIS64240,WHIS64
577158.7525,4387601.843,WHIS64360,WHIS64
