XCoord,YCoord,FID,PLOT
576809.2398,4422163.106,0,SS452
576848.4828,4422116.231,1,SS452120
576766.4904,4422111.772,2,SS452240
576813.664,4422228.389,3,SS452360
495470.3528,4389768.758,4,TOI1577
495469.9292,4389832.19,5,TOI1577360
574040.7052,4413517.088,6,SS604
577525.6027,4435316.274,7,SS256240
574091.2189,4413453.697,8,SS604120
520130.0862,4370137.679,9,SPR1575240
443804.7377,4371585.666,10,DES105360
443758.4767,4371478.531,11,DES105240
443808.7723,4371521.316,12,DES105
443840.8201,4371482.903,13,DES105120
463505.5136,4384377.424,14,NPELECTRICEEL240
463555.6594,4384465.482,15,NPELECTRICEEL360
463605.6876,4384374.889,16,NPELECTRICEEL120
520212.1265,4370115.542,17,SPR1575120
520185.4144,4370155.042,18,SPR1575
520218.979,4370192.589,19,SPR1575360
507328.9652,4389710.017,20,TOI1596
507334.4198,4389765.683,21,TOI1596360
507284.3431,4389656.624,22,TOI1596240
507373.1818,4389651.56,23,TOI1596120
557440.5995,4402514.25,24,ROB926360
557414.621,4402459.762,25,ROB926
557358.7526,4402448.222,26,ROB926240
557458.0652,4402420.029,27,ROB926120
574048.3986,4413566.563,28,SS604360
574042.3537,4413453.482,29,SS604240
578983.2309,4450378.55,30,SS32240
579021.8322,4450420.033,31,SS32
579021.8786,4450488.621,32,SS32360
579061.6251,4450377.568,33,SS32120
503604.7962,4463331.362,34,SHO424120
503617.6754,4463470.733,35,SHO424360
558305.7044,4404464.889,36,ROB938240
558376.8388,4404547.567,37,ROB938360
577131.0284,4387481.518,38,WHIS64120
577136.5909,4387557.449,39,WHIS64
577158.7525,4387601.843,40,WHIS64360
577097.4675,4387550.952,41,WHIS64240
574125.2629,4389982.099,42,WHIS25
574095.732,4389950.678,43,WHIS25240
574150.9168,4389948.898,44,WHIS25120
574125.188,4390035.638,45,WHIS25360
458606.3451,4382063.193,46,NP342360
458609.6296,4381997.162,47,NP342
458571.3377,4381942.398,48,NP342240
458640.0619,4381943.308,49,NP342120
482096.0712,4400890.28,50,RAV358
482049.5038,4400827.746,51,RAV358240
482143.6537,4400824.231,52,RAV358120
482096.537,4400963.087,53,RAV358360
513775.2143,4419192.474,54,TOI533360
513777.4369,4419136.027,55,TOI533
513717.8547,4419095.117,56,TOI533240
513810.5711,4419091.058,57,TOI553120
599324.0024,4421158.266,58,DIA248240
599386.3215,4421177.837,59,DIA248
599374.667,4421228.988,60,DIA248360
606298.515,4415842.703,61,DIA333
606290.6624,4415903.437,62,DIA333360
606340.0794,4415803.779,63,DIA333120
558363.8883,4404494.771,64,ROB938
558419.4082,4404415.115,65,ROB938120
522274.3053,4467545.74,66,SHO446
522246.5383,4467478.12,67,SHO446240
522289.5202,4467464.471,68,SHO446120
522294.4678,4467611.06,69,SHO446360
503572.7827,4463403.06,70,SHO424
503520.0745,4463336.237,71,SHO424240
578432.0885,4348135.176,72,FC791240
578496.1203,4348133.192,73,FC791120
578491.7857,4348236.419,74,FC791360
576733.3961,4347389.379,75,FC795
576766.1367,4347344.102,76,FC795120
576731.6365,4347450.994,77,FC795360
576690.5864,4347342.783,78,FC795240
577670.4275,4435288.37,79,SS256120
577607.0072,4435316.122,80,SS256
577601.257,4435382.824,81,SS256360
437878.4463,4335715.373,82,DES998360
437824.6887,4335623.881,83,DES998240
437906.0411,4335614.002,84,DES998120
480546.6387,4401604.633,85,RAV339
480500.8716,4401545.703,86,RAV339240
480551.8648,4401668.801,87,RAV339360
480584.39,4401552.667,88,RAV339120
451664.3537,4373558.969,89,DES1014
451680.3276,4373639.777,90,DES1014360
451710.9264,4373519.471,91,DES1014120
437864.695,4335657.852,92,DES998
451608.27,4373526.784,93,DES1014240
519054.3118,4368017.37,94,SPR1620
518991.3419,4368011.778,95,SPR1620240
519074.8627,4368070.651,96,SPR1620360
519122.7568,4367964.666,97,SPR1620120
599388.804,4421125.511,98,DIA248120
606256.73,4415800.721,99,DIA333240
578476.258,4348182.55,100,FC791
463553.4643,4384406.721,101,NPELECTRICEEL
