,,,,,,,,,,,,,,,,Jabloun and Sahli 2006,,Peterson 1968,,Bruand 1994,,Canarache 1993,,Hall 1977,
Plot name,Weight of Orig Flask,Weight soil wet,Weight soil + Flask after drying,Weight soil after drying,Weight flask + sand,Weight beaker,Weight beaker + silt,Weight Sand,Weight Silt,Weight Clay,Percent Sand,Percent Silt,Percent Clay,Bulk density,Depth,Field_cap,Perm_wilt,330,15000,330,15000,330,15000,330,15000
DES1014,209.84,16.04,222.96,13.12,216.51,174.92,180.11,6.67,5.19,1.26,50.8,39.6,9.6,1.361473658,15,30.69910219,13.72475305,0.203,0.086,0.159,0.085,0.234,0.038,0.222,0.09
DES1014120,209.02,15.58,222.18,13.16,215.75,174.13,178.86,6.73,4.73,1.7,51.1,35.9,12.9,1.361473658,15,18.9299645,11.89830429,0.229,0.107,0.181,0.106,0.255,0.051,0.232,0.114
DES1014240,163.92,15.12,176.62,12.7,171.41,172.92,176.88,7.49,3.96,1.25,59,31.2,9.8,1.361473658,15,30.12014606,11.98711766,0.205,0.087,0.161,0.086,0.235,0.039,0.212,0.092
DES1014360,209.91,16.23,223.36,13.45,218.03,176.4,180.42,8.12,4.02,1.31,60.4,29.9,9.7,1.357659543,15,29.99379439,11.82897497,0.204,0.086,0.16,0.085,0.234,0.038,0.21,0.091
DES105,203.81,17.1,220.38,16.57,212.73,179.11,184.87,8.92,5.76,1.89,53.8,34.8,11.4,1.358829756,15,30.50502041,11.85478147,0.217,0.098,0.171,0.096,0.245,0.045,0.224,0.103
DES105120,202.17,17.95,219.74,17.57,209.74,174.4,182.63,7.57,8.23,1.77,43.1,46.8,10.1,1.358829756,15,30.81788742,14.8597195,0.207,0.089,0.163,0.088,0.237,0.04,0.234,0.094
DES105240,200.63,15.57,215.57,14.94,209.48,176.27,179.34,8.85,3.07,3.02,59.2,20.5,20.2,1.358829756,15,19.21376258,11.74812369,0.28,0.151,0.223,0.148,0.289,0.082,0.245,0.162
DES105360,206.62,15.1,221.03,14.41,214.67,350.01,354.98,8.05,4.97,1.39,55.9,34.5,9.6,1.358829756,15,30.41062579,12.73517857,0.203,0.086,0.159,0.085,0.233,0.038,0.215,0.09
DES998,205.53,15.57,219.14,13.61,212.66,179.11,184.97,7.13,5.86,0.62,52.4,43.1,4.6,1.414432992,15,48.83120625,27.66561656,0.161,0.051,0.125,0.051,0.197,0.019,0.201,0.052
DES998120,205.3,16.71,221.01,15.71,214.75,176.4,181.57,9.45,5.17,1.09,60.2,32.9,6.9,1.414432992,15,31.46542123,16.28061255,0.181,0.067,0.141,0.067,0.218,0.028,0.198,0.07
DES998240,202.25,15.65,216.5,14.25,210.13,350.03,355.64,7.88,5.61,0.76,55.3,39.4,5.3,1.414432992,15,34.54013241,23.03515643,0.167,0.056,0.13,0.056,0.204,0.021,0.199,0.058
