Plot,Date,Observers,Transect,Meter,Species,Cover
NPELECTRICEEL240,8/5/2015,SF,N,4,POASEC,9
NPELECTRICEEL240,8/5/2015,SF,N,4,ERINAU,0
NPELECTRICEEL240,8/5/2015,SF,N,5,POASEC,9
NPELECTRICEEL240,8/5/2015,SF,N,5,ERINAU,0
NPELECTRICEEL240,8/5/2015,SF,N,6,POASEC,8
NPELECTRICEEL240,8/5/2015,SF,N,6,ERINAU,0
NPELECTRICEEL240,8/5/2015,SF,N,13,POASEC,3
NPELECTRICEEL240,8/5/2015,SF,N,13,ERINAU,28
NPELECTRICEEL240,8/5/2015,SF,N,16,POASEC,1
NPELECTRICEEL240,8/5/2015,SF,N,16,ERINAU,0
NPELECTRICEEL240,8/5/2015,SF,E,1,POASEC,10
NPELECTRICEEL240,8/5/2015,SF,E,1,PHLHOO,1
NPELECTRICEEL240,8/5/2015,SF,E,8,POASEC,11
NPELECTRICEEL240,8/5/2015,SF,E,8,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,E,9,POASEC,12
NPELECTRICEEL240,8/5/2015,SF,E,9,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,E,15,POASEC,6
NPELECTRICEEL240,8/5/2015,SF,E,15,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,E,16,POASEC,5
NPELECTRICEEL240,8/5/2015,SF,E,16,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,S,2,POASEC,12
NPELECTRICEEL240,8/5/2015,SF,S,2,PHLHOO,1
NPELECTRICEEL240,8/5/2015,SF,S,3,POASEC,20
NPELECTRICEEL240,8/5/2015,SF,S,3,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,S,6,POASEC,8
NPELECTRICEEL240,8/5/2015,SF,S,6,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,S,8,POASEC,1
NPELECTRICEEL240,8/5/2015,SF,S,8,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,S,13,POASEC,2
NPELECTRICEEL240,8/5/2015,SF,S,13,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,W,1,POASEC,5
NPELECTRICEEL240,8/5/2015,SF,W,1,PENSPE,1
NPELECTRICEEL240,8/5/2015,SF,W,1,PHLHOO,1
NPELECTRICEEL240,8/5/2015,SF,W,1,ERICAE,0
NPELECTRICEEL240,8/5/2015,SF,W,2,POASEC,6
NPELECTRICEEL240,8/5/2015,SF,W,2,PENSPE,0
NPELECTRICEEL240,8/5/2015,SF,W,2,PHLHOO,1
NPELECTRICEEL240,8/5/2015,SF,W,2,ERICAE,1
NPELECTRICEEL240,8/5/2015,SF,W,8,POASEC,7
NPELECTRICEEL240,8/5/2015,SF,W,8,PENSPE,0
NPELECTRICEEL240,8/5/2015,SF,W,8,PHLHOO,0
NPELECTRICEEL240,8/5/2015,SF,W,8,ERICAE,0
NPELECTRICEEL240,8/5/2015,SF,W,13,POASEC,10
NPELECTRICEEL240,8/5/2015,SF,W,13,PENSPE,0
NPELECTRICEEL240,8/5/2015,SF,W,13,PHLHOO,1
NPELECTRICEEL240,8/5/2015,SF,W,13,ERICAE,0
NPELECTRICEEL240,8/5/2015,SF,W,15,POASEC,8
NPELECTRICEEL240,8/5/2015,SF,W,15,PENSPE,0
NPELECTRICEEL240,8/5/2015,SF,W,15,PHLHOO,1
NPELECTRICEEL240,8/5/2015,SF,W,15,ERICAE,0
NPELECTRICEEL,8/5/2015,EK,N,5,BROTEC,13
NPELECTRICEEL,8/5/2015,EK,N,5,POASEC,0
NPELECTRICEEL,8/5/2015,EK,N,5,ERICAE,0
NPELECTRICEEL,8/5/2015,EK,N,6,BROTEC,6
NPELECTRICEEL,8/5/2015,EK,N,6,POASEC,2
NPELECTRICEEL,8/5/2015,EK,N,6,ERICAE,0
NPELECTRICEEL,8/5/2015,EK,N,7,BROTEC,4
NPELECTRICEEL,8/5/2015,EK,N,7,POASEC,0
NPELECTRICEEL,8/5/2015,EK,N,7,ERICAE,1
NPELECTRICEEL,8/5/2015,EK,N,11,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,N,11,POASEC,0
NPELECTRICEEL,8/5/2015,EK,N,11,ERICAE,0
NPELECTRICEEL,8/5/2015,EK,N,15,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,N,15,POASEC,8
NPELECTRICEEL,8/5/2015,EK,N,15,ERICAE,0
NPELECTRICEEL,8/5/2015,EK,E,3,POASEC,2
NPELECTRICEEL,8/5/2015,EK,E,7,POASEC,6
NPELECTRICEEL,8/5/2015,EK,E,11,POASEC,15
NPELECTRICEEL,8/5/2015,EK,E,14,POASEC,1
NPELECTRICEEL,8/5/2015,EK,E,15,POASEC,0
NPELECTRICEEL,8/5/2015,EK,S,1,POASEC,6
NPELECTRICEEL,8/5/2015,EK,S,1,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,S,1,PHLHOO,0
NPELECTRICEEL,8/5/2015,EK,S,4,POASEC,19
NPELECTRICEEL,8/5/2015,EK,S,4,BROTEC,1
NPELECTRICEEL,8/5/2015,EK,S,4,PHLHOO,0
NPELECTRICEEL,8/5/2015,EK,S,10,POASEC,4
NPELECTRICEEL,8/5/2015,EK,S,10,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,S,10,PHLHOO,2
NPELECTRICEEL,8/5/2015,EK,S,11,POASEC,3
NPELECTRICEEL,8/5/2015,EK,S,11,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,S,11,PHLHOO,0
NPELECTRICEEL,8/5/2015,EK,S,16,POASEC,6
NPELECTRICEEL,8/5/2015,EK,S,16,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,S,16,PHLHOO,0
NPELECTRICEEL,8/5/2015,EK,W,7,POASEC,10
NPELECTRICEEL,8/5/2015,EK,W,7,PHLHOO,0
NPELECTRICEEL,8/5/2015,EK,W,7,CHADOU,0
NPELECTRICEEL,8/5/2015,EK,W,7,DESPIN,0
NPELECTRICEEL,8/5/2015,EK,W,7,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,W,8,POASEC,8
NPELECTRICEEL,8/5/2015,EK,W,8,PHLHOO,1
NPELECTRICEEL,8/5/2015,EK,W,8,CHADOU,0
NPELECTRICEEL,8/5/2015,EK,W,8,DESPIN,0
NPELECTRICEEL,8/5/2015,EK,W,8,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,W,11,POASEC,2
NPELECTRICEEL,8/5/2015,EK,W,11,PHLHOO,1
NPELECTRICEEL,8/5/2015,EK,W,11,CHADOU,1
NPELECTRICEEL,8/5/2015,EK,W,11,DESPIN,1
NPELECTRICEEL,8/5/2015,EK,W,11,BROTEC,0
NPELECTRICEEL,8/5/2015,EK,W,15,POASEC,6
NPELECTRICEEL,8/5/2015,EK,W,15,PHLHOO,2
NPELECTRICEEL,8/5/2015,EK,W,15,CHADOU,0
NPELECTRICEEL,8/5/2015,EK,W,15,DESPIN,0
NPELECTRICEEL,8/5/2015,EK,W,15,BROTEC,6
NPELECTRICEEL,8/5/2015,EK,W,16,POASEC,10
NPELECTRICEEL,8/5/2015,EK,W,16,PHLHOO,6
NPELECTRICEEL,8/5/2015,EK,W,16,CHADOU,0
NPELECTRICEEL,8/5/2015,EK,W,16,DESPIN,0
NPELECTRICEEL,8/5/2015,EK,W,16,BROTEC,0
NPELECTRICEEL360,8/6/2015,SF,N,2,POASEC,8
NPELECTRICEEL360,8/6/2015,SF,N,2,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,N,3,POASEC,16
NPELECTRICEEL360,8/6/2015,SF,N,3,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,N,8,POASEC,13
NPELECTRICEEL360,8/6/2015,SF,N,8,PHLHOO,1
NPELECTRICEEL360,8/6/2015,SF,N,1,POASEC,2
NPELECTRICEEL360,8/6/2015,SF,N,1,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,N,15,POASEC,6
NPELECTRICEEL360,8/6/2015,SF,N,15,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,E,5,POASEC,7
NPELECTRICEEL360,8/6/2015,SF,E,5,PHLHOO,2
NPELECTRICEEL360,8/6/2015,SF,E,5,ASTPUR,0
NPELECTRICEEL360,8/6/2015,SF,E,5,CHRVIS,0
NPELECTRICEEL360,8/6/2015,SF,E,8,POASEC,13
NPELECTRICEEL360,8/6/2015,SF,E,8,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,E,8,ASTPUR,1
NPELECTRICEEL360,8/6/2015,SF,E,8,CHRVIS,0
NPELECTRICEEL360,8/6/2015,SF,E,9,POASEC,5
NPELECTRICEEL360,8/6/2015,SF,E,9,PHLHOO,6
NPELECTRICEEL360,8/6/2015,SF,E,9,ASTPUR,0
NPELECTRICEEL360,8/6/2015,SF,E,9,CHRVIS,0
NPELECTRICEEL360,8/6/2015,SF,E,10,POASEC,4
NPELECTRICEEL360,8/6/2015,SF,E,10,PHLHOO,2
NPELECTRICEEL360,8/6/2015,SF,E,10,ASTPUR,1
NPELECTRICEEL360,8/6/2015,SF,E,10,CHRVIS,0
NPELECTRICEEL360,8/6/2015,SF,E,15,POASEC,3
NPELECTRICEEL360,8/6/2015,SF,E,15,PHLHOO,2
NPELECTRICEEL360,8/6/2015,SF,E,15,ASTPUR,1
NPELECTRICEEL360,8/6/2015,SF,E,15,CHRVIS,1
NPELECTRICEEL360,8/6/2015,SF,S,4,POASEC,9
NPELECTRICEEL360,8/6/2015,SF,S,4,ASTPUR,1
NPELECTRICEEL360,8/6/2015,SF,S,4,PHLHOO,1
NPELECTRICEEL360,8/6/2015,SF,S,5,POASEC,18
NPELECTRICEEL360,8/6/2015,SF,S,5,ASTPUR,0
NPELECTRICEEL360,8/6/2015,SF,S,5,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,S,12,POASEC,5
NPELECTRICEEL360,8/6/2015,SF,S,12,ASTPUR,1
NPELECTRICEEL360,8/6/2015,SF,S,12,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,S,13,POASEC,4
NPELECTRICEEL360,8/6/2015,SF,S,13,ASTPUR,1
NPELECTRICEEL360,8/6/2015,SF,S,13,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,S,16,POASEC,0
NPELECTRICEEL360,8/6/2015,SF,S,16,ASTPUR,0
NPELECTRICEEL360,8/6/2015,SF,S,16,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,W,1,POASEC,20
NPELECTRICEEL360,8/6/2015,SF,W,1,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,W,3,POASEC,8
NPELECTRICEEL360,8/6/2015,SF,W,3,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,W,5,POASEC,11
NPELECTRICEEL360,8/6/2015,SF,W,5,PHLHOO,1
NPELECTRICEEL360,8/6/2015,SF,W,6,POASEC,9
NPELECTRICEEL360,8/6/2015,SF,W,6,PHLHOO,0
NPELECTRICEEL360,8/6/2015,SF,W,10,POASEC,9
NPELECTRICEEL360,8/6/2015,SF,W,10,PHLHOO,0
SHO424120,8/3/2015,JV,N,4,POASEC,1
SHO424120,8/3/2015,JV,N,7,POASEC,0
SHO424120,8/3/2015,JV,N,8,POASEC,1
SHO424120,8/3/2015,JV,N,11,POASEC,3
SHO424120,8/3/2015,JV,N,14,POASEC,0
SHO424120,8/3/2015,JV,E,3,POASEC,5
SHO424120,8/3/2015,JV,E,6,POASEC,4
SHO424120,8/3/2015,JV,E,12,POASEC,0
SHO424120,8/3/2015,JV,E,13,POASEC,0
SHO424120,8/3/2015,JV,E,16,POASEC,6
SHO424120,8/3/2015,JV,S,1,POASEC,2
SHO424120,8/3/2015,JV,S,3,POASEC,1
SHO424120,8/3/2015,JV,S,5,POASEC,3
SHO424120,8/3/2015,JV,S,10,POASEC,1
SHO424120,8/3/2015,JV,S,15,POASEC,10
SHO424120,8/3/2015,JV,W,1,POASEC,2
SHO424120,8/3/2015,JV,W,4,POASEC,0
SHO424120,8/3/2015,JV,W,7,POASEC,3
SHO424120,8/3/2015,JV,W,13,POASEC,0
SHO424120,8/3/2015,JV,W,16,POASEC,5
SHO424360,8/4/2015,JV,N,1,POASEC,1
SHO424360,8/4/2015,JV,N,2,POASEC,0
SHO424360,8/4/2015,JV,N,3,POASEC,0
SHO424360,8/4/2015,JV,N,4,POASEC,0
SHO424360,8/4/2015,JV,N,10,POASEC,1
SHO424360,8/4/2015,JV,E,3,POASEC,5
SHO424360,8/4/2015,JV,E,6,POASEC,0
SHO424360,8/4/2015,JV,E,11,POASEC,0
SHO424360,8/4/2015,JV,E,14,POASEC,0
SHO424360,8/4/2015,JV,E,16,POASEC,1
SHO424360,8/4/2015,JV,S,1,POASEC,1
SHO424360,8/4/2015,JV,S,1,ARTARB,0
SHO424360,8/4/2015,JV,S,9,POASEC,15
SHO424360,8/4/2015,JV,S,9,ARTARB,1
SHO424360,8/4/2015,JV,S,12,POASEC,5
