XCoord,YCoord,COMMENT,PLOT
443809.98414509,4371521.15370645,48,DES105
443812.88212525,4371519.99886672,49,DES105
443816.78097819,4371513.35308812,51,DES105
443817.78106163,4371514.41279077,52,DES105
443816.17353204,4371512.66718510,50,DES105
443813.17485293,4371523.63901607,1,DES105
443811.83586173,4371523.22914534,2,DES105
443814.36150512,4371523.40444479,3,DES105
443814.82370043,4371524.50976068,7,DES105
443818.81944247,4371523.54968739,4,DES105
443821.09601042,4371518.11859168,5,DES105
443822.23265619,4371519.48855863,60,DES105
443823.99853268,4371521.85810138,61,DES105
443809.27036908,4371527.60082504,12,DES105
443812.09933820,4371524.84240240,13,DES105
443812.60630907,4371526.63696557,6,DES105
443811.33662635,4371528.43288548,9,DES105
443809.10235777,4371528.47123687,8,DES105
443814.07591692,4371535.08604550,11,DES105
443811.01806272,4371534.22591205,10,DES105
443810.55986860,4371536.96184602,14,DES105
443804.44157183,4371531.02319135,17,DES105
443802.00313788,4371532.12612065,54,DES105
443802.30166039,4371535.57555423,53,DES105
443800.44551826,4371534.98467472,15,DES105
443808.23939480,4371528.60389634,16,DES105
443804.01602632,4371526.25725448,18,DES105
443803.05120666,4371527.34366248,19,DES105
443800.63118080,4371525.23798660,20,DES105
443800.23864607,4371528.61093610,21,DES105
443800.06610854,4371529.09227841,62,DES105
443799.35071475,4371531.11264430,56,DES105
443799.20426440,4371530.18267281,55,DES105
443797.96780179,4371530.22588405,63,DES105
443797.67882129,4371531.22655233,22,DES105
443796.24190279,4371524.62023084,24,DES105
443797.48844795,4371525.02587699,64,DES105
443801.32770800,4371523.07949573,57,DES105
443805.04153915,4371521.40119697,33,DES105
443802.38440993,4371519.86489835,32,DES105
443800.95712192,4371521.03366476,31,DES105
443800.22987605,4371520.81027432,65,DES105
443800.06522948,4371519.55201993,29,DES105
443799.77241859,4371518.19357633,30,DES105
443796.78821794,4371522.35431290,26,DES105
443794.56018132,4371520.78767503,25,DES105
443794.66456204,4371518.43766726,27,DES105
443791.92176142,4371515.66692926,28,DES105
443796.97460551,4371513.52221320,59,DES105
443799.16801711,4371513.21763873,36,DES105
443802.45459663,4371511.08015759,38,DES105
443803.40963711,4371513.48235894,37,DES105
443801.21567829,4371516.60802044,35,DES105
443801.09504621,4371516.50787942,58,DES105
443802.55124285,4371517.35410461,34,DES105
443806.52590916,4371515.91340807,47,DES105
443807.18270754,4371514.70281140,46,DES105
443807.67841896,4371511.52247770,42,DES105
443807.02374187,4371508.54444880,41,DES105
443807.00206068,4371507.32493506,40,DES105
443804.72014681,4371509.12759812,39,DES105
443811.54146204,4371510.85334859,43,DES105
443813.35410000,4371512.76704737,44,DES105
443809.61906171,4371515.53537448,45,DES105
443794.50850102,4371529.93940628,23,DES105
437863.05016455,4335656.78652006,28,DES998
437860.55323245,4335659.51468229,17,DES998
437855.51768682,4335659.15547822, 15,DES998
437852.40374529,4335659.88867998,14,DES998
437857.06598263,4335663.43145092,12,DES998
437854.72271572,4335668.03249769,14,DES998
437860.03998647,4335670.40254390,10,DES998
437859.29263554,4335670.88011443,9,DES998
437861.45330651,4335666.41718663,11,DES998
437865.93080720,4335672.74920928,7,DES998
437868.05707280,4335672.36034064,6,DES998
437871.72761344,4335668.04717313,5,DES998
437866.78685471,4335666.38271296,8,DES998
437867.60118394,4335660.13048344,1,DES998
437876.17234638,4335663.16036567,4,DES998
437876.26116461,4335665.07080181,3,DES998
437874.17241740,4335658.66843680,2,DES998
437871.11243998,4335649.22032349,29,DES998
437864.96156964,4335651.63114780,25,DES998
437864.80852046,4335652.11172978,26,DES998
437863.14836688,4335654.86692708,27,DES998
437860.85012343,4335651.07002217,19,DES998
437861.30834020,4335650.43567783,20,DES998
437857.84749911,4335648.29771767,21,DES998
437854.16503942,4335649.61281949,23,DES998
437853.33072788,4335649.35803892,22,DES998
