Number,Plot,Unique_tree,Date,Observers,Spp,Live,Code,X.Stems,Diameters,DecayClass,Height,Cones.Brown,Cones.Green,MortalityCause1,MortalityCause2,MortalityCause3,MortalityCause4,MortalityCause5,DMR,PerDeadCrown,Easting,Northing,Age,Cored,Comments,Diameters2,Diameters3,Diameters4,Diameters5,Diameters6,Diameters7,Diameters8,Diameters9,Diameters10,Diameters102,BA_cm,BA_m2_per_ha
94,NPELECTRICEEL120,NPELECTRICEEL12094,8/9/2015,"SF, JV",PIMO,Y,,1,9.4,NA,2.95,0,0,PTB,PSF,PNS,IPS,NA,0,40,NA,NA,1,,,9.4,,NA,NA,NA,NA,NA,NA,NA,NA,69.3626,0.0693626
23,NP342120,NP34212023,7/21/2015,"JV,SF,EK",PIMO,Y,,1,11.1,NA,2.72,0,0,PTB,PSF,PNS,IPS,NA,0,65,NA,NA,1,,,11.1,,NA,NA,NA,NA,NA,NA,NA,NA,96.71985,0.09671985
22,NPELECTRICEEL240,NPELECTRICEEL24022,8/5/2015,"JV, SF, EK",PIMO,Y,,1,13.5,NA,2.82,0,0,PTB,PSF,PBR,IPS,NA,0,15,NA,NA,1,,,13.5,,NA,NA,NA,NA,NA,NA,NA,NA,143.06625,0.14306625
89,TOI1596120,TOI159612089,7/30/2015,"SF,JV",PIMO,Y,P,1,16.7,NA,2.31,0,0,RTB,PNS,PSF,IPS,NA,2,20,NA,NA,1,,,16.7,,NA,NA,NA,NA,NA,NA,NA,NA,218.92865,0.21892865
7,SPR1575120,SPR15751207,8/10/2015,"SF,EK",PIMO,Y,,1,20,NA,6.37,0,0,PTB,PNS,RTB,IPS,NA,2,30,NA,NA,1,,,20,,NA,NA,NA,NA,NA,NA,NA,NA,314,0.314
21,TOI1596240,TOI159624021,7/29/2015,"JV,EK",PIMO,Y,,1,27.6,NA,5.62,0,0,RTB,PTB,PSF,IPS,NA,2,65,NA,NA,1,,,27.6,,NA,NA,NA,NA,NA,NA,NA,NA,597.9816,0.5979816
31,TOI1577360,TOI157736031,10/3/2015,"PW,SF",PIMO,Y,,1,28.3,NA,6.31,0,0,PMB,RTB,PTB,IPS,NA,0,60,NA,NA,1,,,28.3,,NA,NA,NA,NA,NA,NA,NA,NA,628.69865,0.62869865
23,RAV339360,RAV33936023,5/23/2015,"SF,JV",PIMO,N,,1,30.6,1,6.43,NA,NA,PMB,PTB,RTB,IPS,NA,0,100,NA,NA,1,,,30.6,,NA,NA,NA,NA,NA,NA,NA,NA,735.0426,0.7350426
72,TOI1596120,TOI159612072,7/30/2015,"SF,JV",PIMO,Y,,1,30.7,NA,4.68,0,0,RTB,PTB,PBR,IPS,NA,2,50,NA,NA,1,,,30.7,,NA,NA,NA,NA,NA,NA,NA,NA,739.85465,0.73985465
9,ROB926360,ROB9263609,7/31/2015,"SF, EK",PIMO,Y,,1,31.1,NA,7.4,3,2,PNS,PSF,PTB,IPS,NA,0,10,NA,NA,1,,,31.1,,NA,NA,NA,NA,NA,NA,NA,NA,759.25985,0.75925985
65,SHO424360,SHO42436065,8/3/2015,"EK,JV,SF",PIMO,Y,M,3,"43,19.3,18.7",NA,4.99,80,30,PMB,RTB,PTB,IPS,NA,0,55,NA,NA,2,,,43,19.3,18.7,NA,NA,NA,NA,NA,NA,NA,2018.3763,2.0183763
15,ROB926,ROB92615,8/1/2015,"EK,JV,SF",PIMO,Y,,1,74,NA,8.6,80,30,RTB,PTB,PNS,IPS,NA,0,25,NA,NA,3,,,74,,NA,NA,NA,NA,NA,NA,NA,NA,4298.66,4.29866
22,DES1014120,DES101412022,5/27/2015,"PW,SF,JV,EK",PIMO,N,,1,7.3,1,1.45,,,PMB,IPS,PTB,MT,NA,1,100,NA,NA,1,,,7.3,,NA,NA,NA,NA,NA,NA,NA,NA,41.83265,0.04183265
21,DES1014120,DES101412021,5/27/2015,"PW,SF,JV,EK",PIMO,N,,1,20.7,1,3.17,,,PMB,IPS,PTB,MT,NA,1,100,NA,NA,1,,,20.7,,NA,NA,NA,NA,NA,NA,NA,NA,336.36465,0.33636465
67,ROB938360,ROB93836067,7/16/2015,EK,CELE,N,B,NA,NA,4,1.46,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.264,0.0050264
15,SHO446120,SHO44612015,6/16/2015,"SF, EK ",PIMO,Y,I,NA,2.7,NA,1.05,0,0,PBR,NA,NA,NA,NA,0,0,NA,NA,1,,,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72265,0.00572265
44,DIA333360,DIA33336044,6/27/2015,"EK, SF ",PIMO,Y,I,NA,2.9,NA,1.25,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.60185,0.00660185
20,SHO446120,SHO44612020,6/16/2015,"SF, EK ",PIMO,Y,I,NA,3.09,NA,1.44,0,2,PNS,PSF,NA,NA,NA,0,0,NA,NA,1,,,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4952585,0.007495259
66,SPR1575,SPR157566,8/11/2015,"JV, EK, SF",PIMO,Y,I,2,"2.7, 2.2",NA,1.23,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,2.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,9.52205,0.00952205
43,DIA333360,DIA33336043,6/27/2015,"EK, SF ",PIMO,Y,I,NA,3.5,NA,1.15,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.61625,0.00961625
158,ROB938,ROB938158,6/29/2015,"SF, EK, JV ",PIMO,Y,I,NA,3.7,NA,2.82,0,0,PNS,NA,NA,NA,NA,0,0,NA,NA,1,,,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.74665,0.01074665
42,DIA333360,DIA33336042,6/27/2015,"EK, SF ",PIMO,Y,I,NA,3.9,NA,1.17,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.93985,0.01193985
42,ROB938360,ROB93836042,7/16/2015,EK,CELE,N,B,NA,NA,2,2.25,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.4615,0.02544615
58,DIA333240,DIA33324058,6/28/2015,"JV, EK",PIMO,Y,I,NA,4.1,NA,1.4,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.19585,0.01319585
41,DIA333360,DIA33336041,6/27/2015,"EK, SF ",PIMO,Y,I,NA,4.2,NA,1.17,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8474,0.0138474
61,SPR1575,SPR157561,8/11/2015,"JV, EK, SF",PIMO,Y,I,1,4.8,NA,1.43,0,0,PTB,PNS,NA,NA,NA,0,0,NA,NA,1,,,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0864,0.0180864
40,DIA333360,DIA33336040,6/27/2015,"EK, SF ",PIMO,Y,I,NA,5,NA,1.53,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.625,0.019625
45,DIA333360,DIA33336045,6/27/2015,"EK, SF ",PIMO,Y,I,NA,5.1,NA,1.98,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.41785,0.02041785
32,FC795,FC79532,6/4/2015,"SF, JV ",PIMO,Y,I,NA,5.3,NA,1.05,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.05065,0.02205065
157,ROB938,ROB938157,6/29/2015,"SF, EK, JV ",PIMO,Y,I,NA,5.8,NA,1.81,0,0,PSF,PTB,NA,NA,NA,0,0,NA,NA,1,,,5.8,,NA,NA,NA,NA,NA,NA,NA,NA,26.4074,0.0264074
60,SPR1575,SPR157560,8/11/2015,"JV, EK, SF",PIMO,Y,I,1,5.8,NA,1.42,0,0,PSF,PTB,NA,NA,NA,0,0,NA,NA,1,,,5.8,,NA,NA,NA,NA,NA,NA,NA,NA,26.4074,0.0264074
57,DIA333240,DIA33324057,6/28/2015,"JV, EK",PIMO,Y,I,NA,6,NA,1.36,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6,,NA,NA,NA,NA,NA,NA,NA,NA,28.26,0.02826
55,FC791,FC79155,6/3/2015,"JV, EK ",PIMO,Y,I,NA,6.3,NA,1.83,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
21,DIA248,DIA24821,6/24/2015,"SF, JV",PIMO,Y,I,NA,6.4,NA,1.8,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
8,DIA248120,DIA2481208,6/25/2015,SF,PIMO,Y,I,NA,6.4,NA,1.6,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
37,DIA333360,DIA33336037,6/27/2015,"EK, SF ",PIMO,Y,I,NA,6.4,NA,1.25,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
39,DIA333360,DIA33336039,6/27/2015,"EK, SF ",PIMO,Y,I,NA,6.7,NA,1.55,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
30,DIA333120,DIA33312030,6/28/2015,"SF, JV",PIMO,Y,I,NA,6.8,NA,1.77,0,0,PNS,NA,NA,NA,NA,0,0,NA,NA,1,,,6.8,,NA,NA,NA,NA,NA,NA,NA,NA,36.2984,0.0362984
16,SHO446120,SHO44612016,6/16/2015,"SF, EK ",PIMO,Y,I,NA,6.9,NA,1.29,0,0,PBR,NA,NA,NA,NA,0,0,NA,NA,1,,,6.9,,NA,NA,NA,NA,NA,NA,NA,NA,37.37385,0.03737385
56,FC791,FC79156,6/3/2015,"JV, EK ",PIMO,Y,I,NA,7,NA,1.66,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,7,,NA,NA,NA,NA,NA,NA,NA,NA,38.465,0.038465
37,DIA333,DIA33337,6/27/2015,"EK, JV",PIMO,Y,,NA,7.4,NA,1.45,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,7.4,,NA,NA,NA,NA,NA,NA,NA,NA,42.9866,0.0429866
48,FC795240,FC79524048,6/7/2015,"SF, JV ",PIMO,Y,I,NA,7.4,NA,1.36,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,7.4,,NA,NA,NA,NA,NA,NA,NA,NA,42.9866,0.0429866
45,TOI1596120,TOI159612045,7/31/2015,SF,CELE,N,B,NA,NA,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.9135,0.05309135
19,FC795240,FC79524019,6/7/2015,"SF, JV ",PIMO,Y,,NA,7.8,NA,1.39,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,7.8,,NA,NA,NA,NA,NA,NA,NA,NA,47.7594,0.0477594
3,FC795240,FC7952403,6/7/2015,"SF, JV ",PIMO,Y,,NA,8.1,NA,2.14,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,8.1,,NA,NA,NA,NA,NA,NA,NA,NA,51.50385,0.05150385
13,SHO446120,SHO44612013,6/16/2015,"SF, EK ",PIMO,Y,I,NA,8.1,NA,2.07,0,0,PBR,NA,NA,NA,NA,0,0,NA,NA,1,,,8.1,,NA,NA,NA,NA,NA,NA,NA,NA,51.50385,0.05150385
9,SPR1575,SPR15759,8/11/2015,"JV, EK, SF",PIMO,Y,,1,8.3,NA,1.93,0,0,PTB,PNS,NA,NA,NA,0,0,NA,NA,1,,,8.3,,NA,NA,NA,NA,NA,NA,NA,NA,54.07865,0.05407865
22,FC791,FC79122,6/3/2015,"JV, EK ",PIMO,Y,,NA,8.7,NA,1.71,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,8.7,,NA,NA,NA,NA,NA,NA,NA,NA,59.41665,0.05941665
30,DES998,DES99830,5/28/2015,"SF, PJW ",PIMO,Y,I,NA,9.1,NA,2.22,,,PNS,NA,NA,NA,NA,0,0,NA,NA,1,,,9.1,,NA,NA,NA,NA,NA,NA,NA,NA,65.00585,0.06500585
