"","X","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","tmean","tmax","vpdmax","ppt_tot","stdP","stdVPD","MAP_anom","fdsi","MAT_anom"
"1",1,"DES1014",1896,25.1259994506836,6.0334,0,3.22390314471976,3.0167,8.26141701141992,20.94700050354,20.204,246.397000312805,-0.199807420999684,0.288217843484257,13.7439116659655,-0.249317257591045,0.22449250705453
"2",2,"DES1014",1897,18.6820001602173,5.9569,0,2.92756050202668,2.97845,8.06366706391176,21.7990016937256,21.6278,260.849002838135,-0.659335598909261,0.231168225897762,28.1959141912955,-0.419561870022822,0.0267425595463688
"3",3,"DES1014",1898,30.2750005722046,5.0262,0,3.41032230833939,2.5131,7.1716670691967,20.8150005340576,19.9891,208.736001491547,0.0892662600846752,-0.462898167406169,-23.9170871552925,0.298500128184712,-0.865257435168691
"4",4,"DES1014",1899,36.5950002670288,4.3005,0,3.59991162635006,2.15025,7.49516716599464,19.560001373291,18.0396,208.109998345375,0.383255788776277,-1.004086500511,-24.5430903014645,0.73092098734772,-0.541757338370751
"5",5,"DES1014",1900,22.7729997634887,3.791,0,3.12557561331714,1.8955,8.517750484248,20.3520011901855,19.2616,168.301998317242,-0.352280487086868,-1.3840444111034,-64.3510903295975,0.620061455899684,0.480825979882608
"6",6,"DES1014",1901,21.2199994921685,4.4693,0,3.0549441092541,2.23465,8.00683357318242,21.2950000762939,20.786,245.849000453949,-0.4618062916425,-0.878204468503149,13.1959118071095,0.288599734039064,-0.030090931182972
"7",7,"DES1014",1902,20.795000076294,6.0329,0,3.03471257686374,3.01645,7.66250027716159,19.1660003662109,17.4447,151.946999073029,-0.493178621764052,0.287844970166698,-80.7060895738105,-0.378191776869534,-0.374424227203801
"8",8,"DES1014",1903,31.2070007324219,5.4528,0,3.44064245209488,2.7264,7.56175046165784,19.4450016021729,17.8712,168.265998601913,0.136282647221194,-0.14476265286501,-64.3870900449265,0.141031450381731,-0.475174042707551
"9",9,"DES1014",1904,12.4070003032685,6.4255,0,2.51826085390407,3.21275,8.38100039462248,20.0540008544922,18.7867,258.943998575211,-1.29402225693307,0.58062509911386,26.2909099283715,-0.894519848554311,0.34407589025709
"10",10,"DES1014",1905,9.96000003814697,4.6984,0,2.29857707542652,2.3492,7.99716705083847,20.6600017547607,19.7538,202.52199780941,-1.63467821357389,-0.707353914397711,-30.1310908374295,-0.323140221909791,-0.0397574535269216
"11",11,"DES1014",1906,43.8929996490479,4.6291,0,3.78175484606851,2.31455,8.02400034914415,21.3770008087158,20.9192,334.62800359726,0.66523371359682,-0.75903415621136,101.97491495042,0.717761961460962,-0.012924155221242
"12",12,"DES1014",1907,61.3110008239747,5.7231,0,4.11595928563377,2.86155,7.71050037940342,19.1650009155273,17.4461,308.251997470856,1.18347285652629,0.0568126626072717,75.5989088240165,0.488912965811494,-0.326424124961971
"13",13,"DES1014",1908,44.2180004119873,6.2992,0,3.78913195532021,3.1496,7.42541698366404,21.2670001983643,20.7331,216.030001401901,0.676673139060081,0.486437299098509,-16.6230872449385,0.0253312936912705,-0.611507520701351
"14",14,"DES1014",1909,8.75499987602234,3.7121,0,2.16962495157703,1.85605,7.83058383242072,19.6470012664795,18.1702,248.054999828339,-1.83463976474186,-1.44288382061418,15.4019111814995,0.000773443057520806,-0.206340671944671
"15",15,"DES1014",1910,62.6210021972656,5.6377,0,4.13710072019794,2.81885,8.84650041659672,20.9340019226074,20.1879,144.326999664307,1.2162561401448,-0.00687410003176954,-88.3260889825325,0.539002197681503,0.809575912231329
"16",16,"DES1014",1911,33.5980005264283,6.0556,0,3.51446655705646,3.0278,7.02608373885354,20.4490013122559,19.4106,203.389997959137,0.250759106398671,0.304773418783867,-29.2630906877025,-0.0603391077035502,-1.01084076551185
"17",17,"DES1014",1912,19.039999961853,4.2106,0,2.9465420273597,2.1053,6.95475036899248,18.5330009460449,16.5216,229.033997535706,-0.629901611039817,-1.07112912300807,-3.61909111113349,0.322675600026998,-1.08217413537291
"18",18,"DES1014",1913,16.8590002059937,3.0785,0,2.82488465105228,1.53925,7.19008365273475,19.1260013580322,17.383,299.12900352478,-0.818551452168853,-1.91538888862468,66.4759148779405,0.712455138675525,-0.846840851630641
"19",19,"DES1014",1914,54.3390007019043,4.9308,0,3.99524221409603,2.4654,8.31683377859493,19.8270015716553,18.4464,238.602000713349,0.996281113136961,-0.534042396396386,5.94891206650954,0.737427431762239,0.279909274229539
"20",20,"DES1014",1915,7.25099992752075,5.7554,0,1.9811393803937,2.8777,8.01383362958829,20.4630012512207,19.4395,193.51699757576,-2.12691775180776,0.0809002789215696,-39.1360910710795,-0.981147966991493,-0.0230908747771004
"21",21,"DES1014",1916,25.7549996376038,6.4951,0,3.24862876894664,3.24755,7.14758364359537,19.4850006103516,17.9243,225.056998729706,-0.161466259749993,0.632529064918043,-7.59608991713347,-0.425261430644101,-0.889340860770021
"22",22,"DES1014",1917,19.3479995727539,3.5981,0,2.96258903287855,1.79905,7.46516703565916,21.7070007324219,21.4717,203.109999880195,-0.605018080475438,-1.52789893701758,-29.5430887666445,0.589415449320655,-0.571757468706231
"23",23,"DES1014",1918,12.9890003055334,7.3578,0,2.56410286894762,3.6789,7.81041708091894,20.5630016326904,19.5921,237.734000205993,-1.22293664652875,1.27588468703398,5.08091155915352,-1.25258754921168,-0.226507423446451
"24",24,"DES1014",1919,32.9860000610351,6.3191,0,3.49608323087629,3.15955,7.99950042366981,22.0050010681152,21.9879,160.53000202775,0.222252725046595,0.501277657137349,-72.1230866190895,-0.182924288976414,-0.0374240806955815
"25",25,"DES1014",1920,34.4979991912842,3.2161,0,3.54090132790004,1.60805,7.44300042399361,19.4170017242432,17.8247,248.348999023438,0.291750581566788,-1.8127741516325,15.6959103765985,1.14352378080359,-0.593924080371782
"26",26,"DES1014",1921,41.4510002136231,3.4882,0,3.72451201189627,1.7441,8.73966709772745,20.8370018005371,20.0359,223.789000511169,0.576469251464405,-1.60985649221701,-8.86408813567047,1.15516610628586,0.702742593362059
"27",27,"DES1014",1922,45.3570008277893,6.8847,0,3.8145645379167,3.44235,7.19916710754236,20.9560012817383,20.2264,250.27600479126,0.716110555943091,0.923071953959852,17.6229161444205,-0.201831649602557,-0.837757396823031
"28",28,"DES1014",1923,38.5710000991821,5.6955,0,3.65250070134164,2.84775,7.29750044892232,20.8370018005371,20.0318,272.035999774933,0.464803829210875,0.0362300554780268,39.3829111280935,0.18422485378509,-0.739424055443071
"29",29,"DES1014",1924,30.8890008926391,4.3659,0,3.43040016236853,2.18295,7.46133364240329,20.4220008850098,19.3717,142.105999588966,0.12040028654303,-0.955314670574307,-90.5470890578735,0.587952341600545,-0.575590861962101
"30",30,"DES1014",1925,42.5309991836548,4.3365,0,3.75023320260948,2.16825,8.13441709304849,20.9700012207031,20.2397,316.143997192383,0.616354202866244,-0.977239621646763,83.4909085455435,0.818450037383335,0.0974925886830995
"31",31,"DES1014",1926,26.7699995040894,4.8827,0,3.2872818390074,2.44135,9.1704170703888,20.8740005493164,20.0922,164.513999938965,-0.101528295054077,-0.569912809545542,-68.1390887078745,0.27447872352171,1.13349256602341
"32",32,"DES1014",1927,46.3570003509521,6.453,0,3.83637231299062,3.2265,8.27375033746163,21.0790004730225,20.4313,218.815999984741,0.749927110499363,0.601133131579593,-13.8370886620985,-0.00666662506485244,0.236825833096239
"33",33,"DES1014",1928,33.6740007400513,6.8061,0,3.51672604821254,3.40305,8.60975038011868,20.9400005340576,20.2006,145.695999622345,0.254262820358027,0.86445626843961,-86.9570890244945,-0.37221986936865,0.572825875753288
"34",34,"DES1014",1929,22.9630002975464,5.6205,0,3.13388423789438,2.81025,8.01275040705999,21.5390014648438,21.1945,189.786997318268,-0.339396593367704,-0.0197009421557918,-42.8660913285715,-0.138301973474546,-0.0241740973054014
"35",35,"DES1014",1930,6.84499979019165,6.3787,0,1.92351842808908,3.18935,7.74150037765503,20.734001159668,19.8666,299.37299913168,-2.21626854851163,0.545724156590357,66.7199104848405,-1.28076368903572,-0.295424126710361
"36",36,"DES1014",1931,24.9549993872642,4.3957,0,3.21707417836794,2.19785,8.55708382278681,23.5180015563965,24.7013,213.377998352051,-0.210396860427434,-0.933091420847803,-19.2750902947885,0.429956577086699,0.520159318421419
"37",37,"DES1014",1932,51.3719997406005,6.3776,0,3.93909327190138,3.1888,6.99825024604797,19.3770008087158,17.7589,220.436999797821,0.909212911059204,0.544903835291728,-12.2160888490185,0.0949075331026821,-1.03867425831742
"38",38,"DES1014",1933,16.4109997749329,4.8206,0,2.79795182798309,2.4103,7.53441707293193,21.427001953125,21.0043,167.149000823498,-0.86031523951472,-0.616223675586344,-65.5040878233415,-0.0334534470581241,-0.502507431433461
"39",39,"DES1014",1934,23.7680006027222,8.6139,0,3.16834016351886,4.30695,9.79883378293985,20.9740009307861,20.2584,198.482002735138,-0.285966993845627,2.21261703540517,-34.1710859117015,-1.36489101711897,1.76190927857446
"40",40,"DES1014",1935,54.2680015563965,6.7877,0,3.99393476330288,3.39385,7.72700044016043,20.0180015563965,18.7384,257.587997436523,0.994253694891572,0.850734530353447,24.9349087896835,-0.0389397112456386,-0.309924064204961
"41",41,"DES1014",1936,33.1229991912842,4.5903,0,3.50022788070957,2.29515,8.5334170460701,21.3530006408691,20.8726,268.326997756958,0.228679688674415,-0.787969125653922,35.6739091101185,0.541881773382939,0.496492541704709
"42",42,"DES1014",1937,40.9749984741211,5.4435,0,3.71296208739063,2.72175,7.54491692350712,21.5220012664795,21.1595,191.078998416662,0.558559187239977,-0.151698096571603,-41.5740902301775,0.330716976465687,-0.492007580858271
"43",43,"DES1014",1938,29.4900007247925,6.31,0,3.38405124740475,3.155,6.95091693351666,18.984001159668,17.1682,304.421003818512,0.0485286441501715,0.494491362757779,71.7679151716725,-0.255562559718281,-1.08600757084873
"44",44,"DES1014",1939,26.9230003356933,4.324,0,3.29298095234363,2.162,8.35058369239171,20.8380012512207,20.0329,226.426997184753,-0.0926908792056586,-0.986561454585733,-6.22609146208649,0.511690427717521,0.313659188026319
"45",45,"DES1014",1940,13.5469999313354,4.9826,0,2.60616511552998,2.4913,8.95233383029699,20.5770015716553,19.615,252.884999275207,-1.15771219096231,-0.495412720697296,20.2319106283675,-0.231962240432932,0.915409325931599
"46",46,"DES1014",1941,36.10800075531,6.5385,0,3.58651446835399,3.26925,7.76550039897362,19.9650001525879,18.6455,391.051000595093,0.362481284144904,0.664894468882146,158.397911948254,-0.212849137550244,-0.271424105391771
"47",47,"DES1014",1942,49.132999420166,4.0358,0,3.89453089500228,2.0179,7.36258362109463,20.8790016174316,20.1012,187.09599930048,0.840111590798077,-1.20148563482662,-45.5570893463595,1.04248105545406,-0.674340883270761
"48",48,"DES1014",1943,39.5009994506836,5.854,0,3.67632597413592,2.927,8.35450043280919,20.5280017852783,19.5354,243.77000439167,0.50174884696417,0.154430897144163,11.1169157448305,0.134288190263503,0.317575928443798
"49",49,"DES1014",1944,30.75,5.5614,0,3.42588999425253,2.7807,7.29858366151652,19.5970001220703,18.0966,217.904999256134,0.113406526490219,-0.0637745682912407,-14.7480893907055,0.0856126298987911,-0.738340842848872
"50",50,"DES1014",1945,52.4619998931885,7.5224,0,3.96008909596121,3.7612,7.51333353691734,21.0030002593994,20.297,331.446000099182,0.941770401558188,1.39863458317433,98.7929114523425,-0.368856389892024,-0.523590967448051
"51",51,"DES1014",1946,41.1820011138916,6.7864,0,3.71800129473398,3.3932,7.6612504546841,20.2620010375977,19.1096,285.276001930237,0.566373309931042,0.849765059727794,52.6229132833975,-0.226664177077907,-0.375674049681291
"52",52,"DES1014",1947,58.8610019683837,2.4566,0,4.07517876556876,1.2283,7.78416703144709,19.1410007476807,17.4144,171.112999916077,1.1202359294699,-2.3791687210043,-61.5400887307625,1.82523829272916,-0.252757472918301
