"","FT","var","Dead","Live","Inter","D-L","D-I","L-I"
"1","All","Empirical",-0.0743033885607182,-0.0278109494523768,-0.0555980269498611,-0.507713667149215,-0.583200773715881,-0.120598140688693
"2","All","Difference",0.0595523857436357,0.00182766977481981,-0.0402022583005446,0.0410063082768805,0.0750098341371376,0.0315387471759683
"3","All","p-val",0.189,0.484,0.04,0.201,0.024,0.206
"4","Perennial grass","Empirical",-0.192674459715908,0.0159977449726142,-0.0956047526050771,-0.565051037512717,-0.580468770773183,-0.0578091868907063
"5","Perennial grass","Difference",-0.00991214048926803,0.0633071495429758,-0.0715729859102648,-0.0168567040219004,0.0766639090453757,0.0947762978648043
"6","Perennial grass","p-val",0.462,0.058,0.011,0.416,0.07,0.029
"7","Cheatgrass","Empirical",-0.304836422090473,-0.282639621711735,-0.0945149761162297,-0.311111111111111,-0.381768825584231,-0.300064487499948
"8","Cheatgrass","Difference",0.0213814705753234,-0.119879042994129,0.0163599657013229,0.0600085773710695,0.155554894091391,-0.108947866057829
"9","Cheatgrass","p-val",0.453,0.175,0.451,0.369,0.164,0.263
"10","Perennial forb","Empirical",-0.297111840871393,-0.351160282239902,-0.00331648580873326,-0.305092592592593,-0.517196267784503,-0.376805046805047
"11","Perennial forb","Difference",-0.0483139050742002,-0.269849324449275,0.0567734664670934,0.125049831123907,0.0421834555196033,-0.19936984983386
"12","Perennial forb","p-val",0.367,0.004,0.24,0.172,0.349,0.024
"13","Shrub","Empirical",-0.433014652475664,-0.247885213803435,-0.0515697173985787,-0.408156755525177,-0.643507702854854,-0.325430330683954
"14","Shrub","Difference",0.0532953063016339,-0.0928465788199659,0.035714791494117,0.172941632384489,0.0605932038748218,-0.14982426902294
"15","Shrub","p-val",0.342,0.164,0.328,0.088,0.263,0.114
